"date","fsa","hot_spot_fsa","metric","value"
2021-03-29,"K0A",0,"cum_cases_per_100",0.90156503
2021-03-29,"K0A",0,"cum_hospitalizations_deaths_per_1000",0.2033605328046
2021-03-29,"K0A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0A",0,"cum_deaths_per_1000",NA
2021-03-29,"K0B",0,"cum_cases_per_100",0.89968118
2021-03-29,"K0B",0,"cum_hospitalizations_deaths_per_1000",0.48041228108486
2021-03-29,"K0B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0B",0,"cum_deaths_per_1000",NA
2021-03-29,"K0C",0,"cum_cases_per_100",1.0707701
2021-03-29,"K0C",0,"cum_hospitalizations_deaths_per_1000",0.67366331016877
2021-03-29,"K0C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0C",0,"cum_deaths_per_1000",NA
2021-03-29,"K0E",0,"cum_cases_per_100",0.40965168
2021-03-29,"K0E",0,"cum_hospitalizations_deaths_per_1000",0.16575501408918
2021-03-29,"K0E",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0E",0,"cum_deaths_per_1000",NA
2021-03-29,"K0G",0,"cum_cases_per_100",0.54972754
2021-03-29,"K0G",0,"cum_hospitalizations_deaths_per_1000",0.21605012362868
2021-03-29,"K0G",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0G",0,"cum_deaths_per_1000",NA
2021-03-29,"K0H",0,"cum_cases_per_100",0.35780796
2021-03-29,"K0H",0,"cum_hospitalizations_deaths_per_1000",0.1464710928836
2021-03-29,"K0H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0H",0,"cum_deaths_per_1000",NA
2021-03-29,"K0J",0,"cum_cases_per_100",0.36946152
2021-03-29,"K0J",0,"cum_hospitalizations_deaths_per_1000",0.08271526648102
2021-03-29,"K0J",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0J",0,"cum_deaths_per_1000",NA
2021-03-29,"K0K",0,"cum_cases_per_100",0.27363891
2021-03-29,"K0K",0,"cum_hospitalizations_deaths_per_1000",0.08119848970809
2021-03-29,"K0K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0K",0,"cum_deaths_per_1000",NA
2021-03-29,"K0L",0,"cum_cases_per_100",0.40462213
2021-03-29,"K0L",0,"cum_hospitalizations_deaths_per_1000",0.12411721629907
2021-03-29,"K0L",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0L",0,"cum_deaths_per_1000",NA
2021-03-29,"K0M",0,"cum_cases_per_100",0.5327009
2021-03-29,"K0M",0,"cum_hospitalizations_deaths_per_1000",0.32837726899571
2021-03-29,"K0M",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K0M",0,"cum_deaths_per_1000",NA
2021-03-29,"K1B",0,"cum_cases_per_100",1.2515766
2021-03-29,"K1B",0,"cum_hospitalizations_deaths_per_1000",0.53361792956243
2021-03-29,"K1B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1B",0,"cum_deaths_per_1000",NA
2021-03-29,"K1C",0,"cum_cases_per_100",1.19886323
2021-03-29,"K1C",0,"cum_hospitalizations_deaths_per_1000",0.76421560432737
2021-03-29,"K1C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1C",0,"cum_deaths_per_1000",NA
2021-03-29,"K1E",0,"cum_cases_per_100",0.81570997
2021-03-29,"K1E",0,"cum_hospitalizations_deaths_per_1000",0.54380664652568
2021-03-29,"K1E",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1E",0,"cum_deaths_per_1000",NA
2021-03-29,"K1G",0,"cum_cases_per_100",1.95847334
2021-03-29,"K1G",0,"cum_hospitalizations_deaths_per_1000",1.42935954661718
2021-03-29,"K1G",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1G",0,"cum_deaths_per_1000",NA
2021-03-29,"K1H",0,"cum_cases_per_100",1.31353827
2021-03-29,"K1H",0,"cum_hospitalizations_deaths_per_1000",1.54533914675203
2021-03-29,"K1H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1H",0,"cum_deaths_per_1000",NA
2021-03-29,"K1J",0,"cum_cases_per_100",1.63939497
2021-03-29,"K1J",0,"cum_hospitalizations_deaths_per_1000",0.98982337839092
2021-03-29,"K1J",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1J",0,"cum_deaths_per_1000",NA
2021-03-29,"K1K",0,"cum_cases_per_100",1.9554123
2021-03-29,"K1K",0,"cum_hospitalizations_deaths_per_1000",1.23556271823798
