"date","fsa","dose_1","dose_1_80_plus","dose_1_70_79","dose_1_60_69","dose_1_50_59","dose_1_40_49","dose_1_under_40_or_unknown","dose_1_30_39","dose_1_under_30_or_unknown","dose_1_85_plus","dose_1_80_84","dose_1_75_79","dose_1_70_74","dose_1_65_69","dose_1_60_64","dose_1_55_59","dose_1_50_54","dose_1_45_49","dose_1_40_44","dose_1_35_39","dose_1_30_34","dose_1_25_29","dose_1_18_24","dose_1_16_17","dose_1_12_15","dose_2","dose_2_85_plus","dose_2_80_84","dose_2_75_79","dose_2_70_74","dose_2_65_69","dose_2_60_64","dose_2_55_59","dose_2_50_54","dose_2_45_49","dose_2_40_44","dose_2_35_39","dose_2_30_34","dose_2_25_29","dose_2_18_24","dose_2_16_17","dose_2_12_15","dose_1_5_11","dose_3","dose_3_85_plus","dose_3_80_84","dose_3_75_79","dose_3_70_74","dose_2_5_11","dose_3_65_69","dose_3_60_64","dose_3_55_59","dose_3_50_54","dose_3_45_49","dose_3_40_44","dose_3_35_39","dose_3_30_34","dose_3_25_29","dose_3_18_24"
2021-03-29,"K0A",0.0859584712,0.6374468085,0.1401821862,0.0878882735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0B",0.0809157559,0.5848513902,0.087520938,0.0609204576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0C",0.0931926925,0.5663907881,0.0929303457,0.0865125673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0E",0.1026803024,0.6474082073,0.0937764606,0.1231778426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0G",0.1181094649,0.7725511898,0.1583188153,0.1251043696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0H",0.1758438841,0.6488038278,0.1610572352,0.3650077206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0J",0.1193424904,0.7329574577,0.1184483953,0.1061427281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0K",0.1133559008,0.6285811733,0.115086972,0.1398325021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0L",0.1464993062,0.7038088479,0.1936982428,0.1731818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K0M",0.1199115859,0.6306495061,0.1712509918,0.0854897112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K1B",0.0837718156,0.7119700748,0.188034188,0.0664881749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,"K1C",0.0978315683,0.7525188917,0.1948402948,0.0911326012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
