"date","fsa","dose","coverage"
2021-03-29,"K0A","dose_1",0.0859584712
2021-03-29,"K0A","dose_2",NA
2021-03-29,"K0A","dose_3",NA
2021-03-29,"K0B","dose_1",0.0809157559
2021-03-29,"K0B","dose_2",NA
2021-03-29,"K0B","dose_3",NA
2021-03-29,"K0C","dose_1",0.0931926925
2021-03-29,"K0C","dose_2",NA
2021-03-29,"K0C","dose_3",NA
2021-03-29,"K0E","dose_1",0.1026803024
2021-03-29,"K0E","dose_2",NA
2021-03-29,"K0E","dose_3",NA
2021-03-29,"K0G","dose_1",0.1181094649
2021-03-29,"K0G","dose_2",NA
2021-03-29,"K0G","dose_3",NA
2021-03-29,"K0H","dose_1",0.1758438841
2021-03-29,"K0H","dose_2",NA
2021-03-29,"K0H","dose_3",NA
2021-03-29,"K0J","dose_1",0.1193424904
2021-03-29,"K0J","dose_2",NA
2021-03-29,"K0J","dose_3",NA
2021-03-29,"K0K","dose_1",0.1133559008
2021-03-29,"K0K","dose_2",NA
2021-03-29,"K0K","dose_3",NA
2021-03-29,"K0L","dose_1",0.1464993062
2021-03-29,"K0L","dose_2",NA
2021-03-29,"K0L","dose_3",NA
2021-03-29,"K0M","dose_1",0.1199115859
2021-03-29,"K0M","dose_2",NA
2021-03-29,"K0M","dose_3",NA
2021-03-29,"K1B","dose_1",0.0837718156
2021-03-29,"K1B","dose_2",NA
2021-03-29,"K1B","dose_3",NA
2021-03-29,"K1C","dose_1",0.0978315683
2021-03-29,"K1C","dose_2",NA
2021-03-29,"K1C","dose_3",NA
2021-03-29,"K1E","dose_1",0.0921931666
2021-03-29,"K1E","dose_2",NA
2021-03-29,"K1E","dose_3",NA
2021-03-29,"K1G","dose_1",0.0990526344
2021-03-29,"K1G","dose_2",NA
2021-03-29,"K1G","dose_3",NA
2021-03-29,"K1H","dose_1",0.1477373296
2021-03-29,"K1H","dose_2",NA
2021-03-29,"K1H","dose_3",NA
2021-03-29,"K1J","dose_1",0.0961346882
2021-03-29,"K1J","dose_2",NA
2021-03-29,"K1J","dose_3",NA
2021-03-29,"K1K","dose_1",0.0970304466
2021-03-29,"K1K","dose_2",NA
2021-03-29,"K1K","dose_3",NA
2021-03-29,"K1L","dose_1",0.1616012642
2021-03-29,"K1L","dose_2",NA
2021-03-29,"K1L","dose_3",NA
2021-03-29,"K1M","dose_1",0.1536071332
2021-03-29,"K1M","dose_2",NA
2021-03-29,"K1M","dose_3",NA
2021-03-29,"K1N","dose_1",0.0886639226
2021-03-29,"K1N","dose_2",NA
